state,sector,date,value
Johor,domestic,1/1/03,560
Johor,domestic,1/1/04,610
Johor,domestic,1/1/05,621
Johor,domestic,1/1/06,644
Johor,domestic,1/1/07,664
Johor,domestic,1/1/08,682
Johor,domestic,1/1/09,713
Johor,domestic,1/1/10,730
Johor,domestic,1/1/11,738
Johor,domestic,1/1/12,769
Johor,domestic,1/1/13,797
Johor,domestic,1/1/14,823
Johor,domestic,1/1/15,811
Johor,domestic,1/1/16,773
Johor,domestic,1/1/17,785
Johor,domestic,1/1/18,809
Johor,domestic,1/1/19,835
Johor,domestic,1/1/20,867
Johor,domestic,1/1/21,879
Johor,domestic,1/1/22,867
Kedah,domestic,1/1/03,388
Kedah,domestic,1/1/04,412
Kedah,domestic,1/1/05,420
Kedah,domestic,1/1/06,434
Kedah,domestic,1/1/07,471
Kedah,domestic,1/1/08,470
Kedah,domestic,1/1/09,474
Kedah,domestic,1/1/10,444
Kedah,domestic,1/1/11,459
Kedah,domestic,1/1/12,474
Kedah,domestic,1/1/13,487
Kedah,domestic,1/1/14,510
Kedah,domestic,1/1/15,511
Kedah,domestic,1/1/16,525
Kedah,domestic,1/1/17,523
Kedah,domestic,1/1/18,544
Kedah,domestic,1/1/19,551
Kedah,domestic,1/1/20,574
Kedah,domestic,1/1/21,590
Kedah,domestic,1/1/22,560
Kelantan,domestic,1/1/03,94
Kelantan,domestic,1/1/04,102
Kelantan,domestic,1/1/05,111
Kelantan,domestic,1/1/06,116
Kelantan,domestic,1/1/07,120
Kelantan,domestic,1/1/08,122
Kelantan,domestic,1/1/09,124
Kelantan,domestic,1/1/10,124
Kelantan,domestic,1/1/11,123
Kelantan,domestic,1/1/12,130
Kelantan,domestic,1/1/13,140
Kelantan,domestic,1/1/14,154
Kelantan,domestic,1/1/15,159
Kelantan,domestic,1/1/16,163
Kelantan,domestic,1/1/17,162
Kelantan,domestic,1/1/18,164
Kelantan,domestic,1/1/19,163
Kelantan,domestic,1/1/20,170
Kelantan,domestic,1/1/21,171
Kelantan,domestic,1/1/22,162
Melaka,domestic,1/1/03,153
Melaka,domestic,1/1/04,144
Melaka,domestic,1/1/05,150
Melaka,domestic,1/1/06,155
Melaka,domestic,1/1/07,196
Melaka,domestic,1/1/08,202
Melaka,domestic,1/1/09,173
Melaka,domestic,1/1/10,177
Melaka,domestic,1/1/11,180
Melaka,domestic,1/1/12,187
Melaka,domestic,1/1/13,193
Melaka,domestic,1/1/14,196
Melaka,domestic,1/1/15,202
Melaka,domestic,1/1/16,206
Melaka,domestic,1/1/17,206
Melaka,domestic,1/1/18,209
Melaka,domestic,1/1/19,210
Melaka,domestic,1/1/20,215
Melaka,domestic,1/1/21,230
Melaka,domestic,1/1/22,228
Negeri Sembilan,domestic,1/1/03,184
Negeri Sembilan,domestic,1/1/04,183
Negeri Sembilan,domestic,1/1/05,181
Negeri Sembilan,domestic,1/1/06,190
Negeri Sembilan,domestic,1/1/07,231
Negeri Sembilan,domestic,1/1/08,237
Negeri Sembilan,domestic,1/1/09,213
Negeri Sembilan,domestic,1/1/10,229
Negeri Sembilan,domestic,1/1/11,239
Negeri Sembilan,domestic,1/1/12,247
Negeri Sembilan,domestic,1/1/13,255
Negeri Sembilan,domestic,1/1/14,259
Negeri Sembilan,domestic,1/1/15,276
Negeri Sembilan,domestic,1/1/16,287
Negeri Sembilan,domestic,1/1/17,288
Negeri Sembilan,domestic,1/1/18,293
Negeri Sembilan,domestic,1/1/19,294
Negeri Sembilan,domestic,1/1/20,318
Negeri Sembilan,domestic,1/1/21,327
Negeri Sembilan,domestic,1/1/22,307
