state,date,value,year
Malaysia,2000-01-01,10184,2000
Malaysia,2001-01-01,10432,2001
Malaysia,2002-01-01,10737,2002
Malaysia,2003-01-01,11047,2003
Malaysia,2004-01-01,11410,2004
Malaysia,2005-01-01,11563,2005
Malaysia,2006-01-01,12192,2006
Malaysia,2007-01-01,12827,2007
Malaysia,2008-01-01,13213,2008
Malaysia,2009-01-01,13495,2009
Malaysia,2010-01-01,14110,2010
Malaysia,2011-01-01,14564,2011
Malaysia,2012-01-01,15012,2012
Malaysia,2013-01-01,15498,2013
Malaysia,2014-01-01,15768,2014
Malaysia,2015-01-01,16159,2015
Malaysia,2016-01-01,16772,2016
Malaysia,2017-01-01,16827,2017
Malaysia,2018-01-01,17287,2018
Malaysia,2019-01-01,17743,2019
Malaysia,2020-01-01,17928,2020
Malaysia,2021-01-01,18190,2021
Malaysia,2022-01-01,18828,2022
Johor,2000-01-01,1158,2000
Johor,2001-01-01,1201,2001
Johor,2002-01-01,1260,2002
Johor,2003-01-01,1118,2003
Johor,2004-01-01,1003,2004
Johor,2005-01-01,1003,2005
Johor,2006-01-01,1363,2006
Johor,2007-01-01,1387,2007
Johor,2008-01-01,1430,2008
Johor,2009-01-01,1466,2009
Johor,2010-01-01,1476,2010
Johor,2011-01-01,1528,2011
Johor,2012-01-01,1512,2012
Johor,2013-01-01,1508,2013
Johor,2014-01-01,1568,2014
Johor,2015-01-01,1619,2015
Johor,2016-01-01,1737,2016
Johor,2017-01-01,1680,2017
Johor,2018-01-01,1757,2018
Johor,2019-01-01,1888,2019
Johor,2020-01-01,1831,2020
Johor,2021-01-01,1848,2021
Johor,2022-01-01,1837,2022
Kedah,2000-01-01,804,2000
Kedah,2001-01-01,841,2001
Kedah,2002-01-01,864,2002
Kedah,2003-01-01,928,2003
Kedah,2004-01-01,976,2004
Kedah,2005-01-01,976,2005
Kedah,2006-01-01,1029,2006
Kedah,2007-01-01,1088,2007
Kedah,2008-01-01,1157,2008
Kedah,2009-01-01,1173,2009
Kedah,2010-01-01,1173,2010
Kedah,2011-01-01,1237,2011
Kedah,2012-01-01,1292,2012
Kedah,2013-01-01,1322,2013
Kedah,2014-01-01,1299,2014
Kedah,2015-01-01,1315,2015
Kedah,2016-01-01,1361,2016
Kedah,2017-01-01,1370,2017
Kedah,2018-01-01,1446,2018
Kedah,2019-01-01,1474,2019
Kedah,2020-01-01,1487,2020
Kedah,2021-01-01,1538,2021
Kedah,2022-01-01,1597,2022
Kelantan,2000-01-01,213,2000
Kelantan,2001-01-01,216,2001
Kelantan,2002-01-01,216,2002
Kelantan,2003-01-01,228,2003
Kelantan,2004-01-01,275,2004
