state,date,value,year
Malaysia,1/1/00,10184,2000
Malaysia,1/1/01,10432,2001
Malaysia,1/1/02,10737,2002
Malaysia,1/1/03,11047,2003
Malaysia,1/1/04,11410,2004
Malaysia,1/1/05,11563,2005
Malaysia,1/1/06,12192,2006
Malaysia,1/1/07,12827,2007
Malaysia,1/1/08,13213,2008
Malaysia,1/1/09,13495,2009
Malaysia,1/1/10,14110,2010
Malaysia,1/1/11,14564,2011
Malaysia,1/1/12,15012,2012
Malaysia,1/1/13,15498,2013
Malaysia,1/1/14,15768,2014
Malaysia,1/1/15,16159,2015
Malaysia,1/1/16,16772,2016
Malaysia,1/1/17,16827,2017
Malaysia,1/1/18,17287,2018
Malaysia,1/1/19,17743,2019
Malaysia,1/1/20,17928,2020
Malaysia,1/1/21,18190,2021
Malaysia,1/1/22,18828,2022
