state,date,value,year
Johor,1/1/00,1158,2000
Johor,1/1/01,1201,2001
Johor,1/1/02,1260,2002
Johor,1/1/03,1118,2003
Johor,1/1/04,1003,2004
Johor,1/1/05,1003,2005
Johor,1/1/06,1363,2006
Johor,1/1/07,1387,2007
Johor,1/1/08,1430,2008
Johor,1/1/09,1466,2009
Johor,1/1/10,1476,2010
Johor,1/1/11,1528,2011
Johor,1/1/12,1512,2012
Johor,1/1/13,1508,2013
Johor,1/1/14,1568,2014
Johor,1/1/15,1619,2015
Johor,1/1/16,1737,2016
Johor,1/1/17,1680,2017
Johor,1/1/18,1757,2018
Johor,1/1/19,1888,2019
Johor,1/1/20,1831,2020
Johor,1/1/21,1848,2021
Johor,1/1/22,1837,2022
Kedah,1/1/00,804,2000
Kedah,1/1/01,841,2001
Kedah,1/1/02,864,2002
Kedah,1/1/03,928,2003
Kedah,1/1/04,976,2004
Kedah,1/1/05,976,2005
Kedah,1/1/06,1029,2006
Kedah,1/1/07,1088,2007
Kedah,1/1/08,1157,2008
Kedah,1/1/09,1173,2009
Kedah,1/1/10,1173,2010
Kedah,1/1/11,1237,2011
Kedah,1/1/12,1292,2012
Kedah,1/1/13,1322,2013
Kedah,1/1/14,1299,2014
Kedah,1/1/15,1315,2015
Kedah,1/1/16,1361,2016
Kedah,1/1/17,1370,2017
Kedah,1/1/18,1446,2018
Kedah,1/1/19,1474,2019
Kedah,1/1/20,1487,2020
Kedah,1/1/21,1538,2021
Kedah,1/1/22,1597,2022
Kelantan,1/1/00,213,2000
Kelantan,1/1/01,216,2001
Kelantan,1/1/02,216,2002
Kelantan,1/1/03,228,2003
Kelantan,1/1/04,275,2004
Kelantan,1/1/05,275,2005
Kelantan,1/1/06,295,2006
Kelantan,1/1/07,328,2007
Kelantan,1/1/08,341,2008
Kelantan,1/1/09,343,2009
Kelantan,1/1/10,377,2010
Kelantan,1/1/11,403,2011
Kelantan,1/1/12,406,2012
Kelantan,1/1/13,430,2013
Kelantan,1/1/14,445,2014
Kelantan,1/1/15,454,2015
Kelantan,1/1/16,471,2016
Kelantan,1/1/17,475,2017
Kelantan,1/1/18,491,2018
Kelantan,1/1/19,503,2019
Kelantan,1/1/20,507,2020
Kelantan,1/1/21,504,2021
Kelantan,1/1/22,517,2022
Melaka,1/1/00,324,2000
Melaka,1/1/01,320,2001
Melaka,1/1/02,350,2002
Melaka,1/1/03,375,2003
Melaka,1/1/04,399,2004
Melaka,1/1/05,415,2005
Melaka,1/1/06,393,2006
Melaka,1/1/07,411,2007
Melaka,1/1/08,428,2008
Melaka,1/1/09,443,2009
Melaka,1/1/10,443,2010
Melaka,1/1/11,455,2011
Melaka,1/1/12,478,2012
Melaka,1/1/13,487,2013
Melaka,1/1/14,532,2014
Melaka,1/1/15,519,2015
Melaka,1/1/16,510,2016
Melaka,1/1/17,513,2017
Melaka,1/1/18,528,2018
Melaka,1/1/19,538,2019
Melaka,1/1/20,578,2020
Melaka,1/1/21,603,2021
Melaka,1/1/22,649,2022
Negeri Sembilan,1/1/00,490,2000
Negeri Sembilan,1/1/01,520,2001
Negeri Sembilan,1/1/02,620,2002
Negeri Sembilan,1/1/03,634,2003
Negeri Sembilan,1/1/04,649,2004
Negeri Sembilan,1/1/05,642,2005
Negeri Sembilan,1/1/06,746,2006
Negeri Sembilan,1/1/07,690,2007
Negeri Sembilan,1/1/08,665,2008
Negeri Sembilan,1/1/09,659,2009
Negeri Sembilan,1/1/10,724,2010
Negeri Sembilan,1/1/11,742,2011
Negeri Sembilan,1/1/12,735,2012
Negeri Sembilan,1/1/13,736,2013
Negeri Sembilan,1/1/14,744,2014
Negeri Sembilan,1/1/15,752,2015
Negeri Sembilan,1/1/16,779,2016
Negeri Sembilan,1/1/17,771,2017
Negeri Sembilan,1/1/18,780,2018
Negeri Sembilan,1/1/19,784,2019
Negeri Sembilan,1/1/20,795,2020
Negeri Sembilan,1/1/21,811,2021
