state,district,year,date,income_mean,income_median
Johor,Batu Pahat,2019,1/1/19,7392,6504
Johor,Batu Pahat,2022,1/1/22,7419,6347
Johor,Johor Bahru,2019,1/1/19,9315,7342
Johor,Johor Bahru,2022,1/1/22,9869,8232
Johor,Kluang,2019,1/1/19,5953,4933
Johor,Kluang,2022,1/1/22,6461,5204
Johor,Kota Tinggi,2019,1/1/19,6982,5475
Johor,Kota Tinggi,2022,1/1/22,7529,6227
Johor,Kulai,2019,1/1/19,8602,7536
Johor,Kulai,2022,1/1/22,9177,7460
Johor,Mersing,2019,1/1/19,4937,3896
Johor,Mersing,2022,1/1/22,5426,4445
Johor,Muar,2019,1/1/19,7540,5963
Johor,Muar,2022,1/1/22,7572,5724
Johor,Pontian,2019,1/1/19,6776,5585
Johor,Pontian,2022,1/1/22,6913,5616
Johor,Segamat,2019,1/1/19,6431,5595
Johor,Segamat,2022,1/1/22,6578,5318
Johor,Tangkak,2019,1/1/19,6659,5561
Johor,Tangkak,2022,1/1/22,7093,5622
Kedah,Baling,2019,1/1/19,4313,3583
Kedah,Baling,2022,1/1/22,4263,3400
Kedah,Bandar Baharu,2019,1/1/19,4959,4022
Kedah,Bandar Baharu,2022,1/1/22,4565,3922
Kedah,Kota Setar,2019,1/1/19,5773,4532
Kedah,Kota Setar,2022,1/1/22,5959,4751
Kedah,Kuala Muda,2019,1/1/19,5656,4247
Kedah,Kuala Muda,2022,1/1/22,5624,4200
Kedah,Kubang Pasu,2019,1/1/19,6291,4814
Kedah,Kubang Pasu,2022,1/1/22,6221,5201
Kedah,Kulim,2019,1/1/19,5476,4489
Kedah,Kulim,2022,1/1/22,5636,4498
Kedah,Langkawi,2019,1/1/19,6737,5905
Kedah,Langkawi,2022,1/1/22,6087,5250
Kedah,Padang Terap,2019,1/1/19,4781,3722
Kedah,Padang Terap,2022,1/1/22,4858,3902
Kedah,Pendang,2019,1/1/19,4680,3765
Kedah,Pendang,2022,1/1/22,4986,3801
Kedah,Pokok Sena,2019,1/1/19,5046,4246
Kedah,Pokok Sena,2022,1/1/22,5494,4668
Kedah,Sik,2019,1/1/19,4960,4094
Kedah,Sik,2022,1/1/22,5053,3703
Kedah,Yan,2019,1/1/19,4397,3502
Kedah,Yan,2022,1/1/22,4637,4080
Kelantan,Bachok,2019,1/1/19,4728,3621
Kelantan,Bachok,2022,1/1/22,4811,3625
Kelantan,Gua Musang,2019,1/1/19,4009,2942
Kelantan,Gua Musang,2022,1/1/22,4473,3342
Kelantan,Jeli,2019,1/1/19,3872,2943
Kelantan,Jeli,2022,1/1/22,3735,2906
Kelantan,Kecil Lojing,2019,1/1/19,3002,3138
Kelantan,Kecil Lojing,2022,1/1/22,3153,2630
Kelantan,Kota Bharu,2019,1/1/19,5577,4171
Kelantan,Kota Bharu,2022,1/1/22,5693,4330
Kelantan,Kuala Krai,2019,1/1/19,3979,2896
Kelantan,Kuala Krai,2022,1/1/22,3798,2763
Kelantan,Machang,2019,1/1/19,4841,3708
Kelantan,Machang,2022,1/1/22,4987,3429
Kelantan,Pasir Mas,2019,1/1/19,4745,3341
Kelantan,Pasir Mas,2022,1/1/22,4602,3508
Kelantan,Pasir Puteh,2019,1/1/19,4688,3458
Kelantan,Pasir Puteh,2022,1/1/22,4712,3453
Kelantan,Tanah Merah,2019,1/1/19,4338,3166
Kelantan,Tanah Merah,2022,1/1/22,4177,2991
Kelantan,Tumpat,2019,1/1/19,4838,3500
Kelantan,Tumpat,2022,1/1/22,4741,3749
Melaka,Alor Gajah,2019,1/1/19,7050,5907
Melaka,Alor Gajah,2022,1/1/22,7235,5611
Melaka,Jasin,2019,1/1/19,7340,5640
Melaka,Jasin,2022,1/1/22,7145,5895
Melaka,Melaka Tengah,2019,1/1/19,8100,6250
Melaka,Melaka Tengah,2022,1/1/22,8593,6557
Negeri Sembilan,Jelebu,2019,1/1/19,5414,3976
Negeri Sembilan,Jelebu,2022,1/1/22,4445,3636
Negeri Sembilan,Jempol,2019,1/1/19,4926,3676
Negeri Sembilan,Jempol,2022,1/1/22,4848,3830
Negeri Sembilan,Kuala Pilah,2019,1/1/19,5040,3587
Negeri Sembilan,Kuala Pilah,2022,1/1/22,4509,3471
Negeri Sembilan,Port Dickson,2019,1/1/19,6393,4959
Negeri Sembilan,Port Dickson,2022,1/1/22,6054,4805
Negeri Sembilan,Rembau,2019,1/1/19,5163,4135
Negeri Sembilan,Rembau,2022,1/1/22,5544,4655
Negeri Sembilan,Seremban,2019,1/1/19,7611,5599
Negeri Sembilan,Seremban,2022,1/1/22,7900,6384
Negeri Sembilan,Tampin,2019,1/1/19,5786,4332
Negeri Sembilan,Tampin,2022,1/1/22,5097,4012
Pahang,Bentong,2019,1/1/19,5300,4220
Pahang,Bentong,2022,1/1/22,5563,4691
Pahang,Bera,2019,1/1/19,4566,3636
Pahang,Bera,2022,1/1/22,4567,3866
Pahang,Cameron Highlands,2019,1/1/19,6576,5729
Pahang,Cameron Highlands,2022,1/1/22,6265,5221
Pahang,Jerantut,2019,1/1/19,4452,3781
Pahang,Jerantut,2022,1/1/22,4537,3781
Pahang,Kuantan,2019,1/1/19,7071,5654
Pahang,Kuantan,2022,1/1/22,6938,5926
Pahang,Lipis,2019,1/1/19,4504,3646
Pahang,Lipis,2022,1/1/22,4959,4115
Pahang,Maran,2019,1/1/19,4678,3671
Pahang,Maran,2022,1/1/22,5036,4319
Pahang,Pekan,2019,1/1/19,5026,4092
Pahang,Pekan,2022,1/1/22,4780,4053
Pahang,Raub,2019,1/1/19,5005,3805
Pahang,Raub,2022,1/1/22,5445,4375
Pahang,Rompin,2019,1/1/19,4641,3579
Pahang,Rompin,2022,1/1/22,5103,4148
Pahang,Temerloh,2019,1/1/19,5205,4173
Pahang,Temerloh,2022,1/1/22,5180,4283
Perak,Bagan Datuk,2019,1/1/19,5705,4503
Perak,Bagan Datuk,2022,1/1/22,5160,4076
Perak,Batang Padang,2019,1/1/19,5637,4067
Perak,Batang Padang,2022,1/1/22,5178,3953
Perak,Hilir Perak,2019,1/1/19,4783,3484
Perak,Hilir Perak,2022,1/1/22,5203,4199
Perak,Hulu Perak,2019,1/1/19,4554,3532
Perak,Hulu Perak,2022,1/1/22,4891,3467
Perak,Kampar,2019,1/1/19,4845,3821
Perak,Kampar,2022,1/1/22,5087,4347
Perak,Kerian,2019,1/1/19,5532,4512
Perak,Kerian,2022,1/1/22,5276,3996
Perak,Kinta,2019,1/1/19,6120,4556
